"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",5,5750.56,392.371822002,3
"B",5,294.081,78.538822002,3
"B",5,9560.82,210.336822002,3
"B",5,1630.23,528.363822002,3
"B",5,2870.48,279.770822002,3
"B",5,3407.5,65.872822002,3
"B",5,9842.12,242.951822002,3
"B",5,9.58959,214.977822002,3
"B",5,9835.72,307.746822002,3
"B",5,1796.45,45.904822002,3
"B",5,6524.12,139.687822002,3
"B",5,2355.84,197.826822002,3
"B",5,7115.48,104.810822002,3
"B",5,1368.12,117.067822002,3
"B",5,3302.02,112.688822002,3
"B",5,4331.3,292.289822002,3
"B",5,1163.54,541.653822002,3
"B",5,12722.2,118.153822002,3
"B",5,18603.8,243.191822002,3
"B",5,2534.85,116.392822002,3
"B",5,19.1792,85.143822002,3
"B",5,3535.36,340.788822002,3
"B",5,6997.21,178.920822002,3
"B",5,8045.67,171.378822002,3
"B",5,79.9133,76.870822002,3
"B",5,3749.53,179.499822002,3
"B",5,4002.06,142.609822002,3
"B",5,1604.66,930.070822002,3
"B",5,2745.82,105.311822002,3
"B",5,1911.53,279.079822002,3
