"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0.5,4398.43,519.068542964,3
"B",0.5,1205.09,285.065542964,3
"B",0.5,5430.91,162.156542964,3
"B",0.5,4452.77,106.195542964,3
"B",0.5,1432.05,131.867542964,3
"B",0.5,4548.66,218.917542964,3
"B",0.5,3624.87,123.740542964,3
"B",0.5,8298.19,273.114542964,3
"B",0.5,6949.26,256.056542964,3
"B",0.5,1150.75,302.520542964,3
"B",0.5,13956.1,337.936542964,3
"B",0.5,5929.56,571.071542964,3
"B",0.5,5561.96,151.212542964,3
"B",0.5,294.081,323.311542964,3
"B",0.5,92.6994,237.978542964,3
"B",0.5,5213.54,217.450542964,3
"B",0.5,1348.94,238.677542964,3
"B",0.5,1217.88,677.549542964,3
"B",0.5,7649.3,92.985542964,3
"B",0.5,3947.72,141.909542964,3
"B",0.5,3541.76,73.2185429640001,3
"B",0.5,776.757,388.411542964,3
"B",0.5,5724.99,381.542542964,3
"B",0.5,12.7861,25.909542964,3
"B",0.5,8275.82,370.981542964,3
"B",0.5,169.416,469.211542964,3
"B",0.5,824.705,59.347542964,3
"B",0.5,1051.66,111.262542964,3
"B",0.5,1499.17,74.692542964,3
"B",0.5,3954.11,418.528542964,3
"B",0.5,7288.09,92.559542964,3
"B",0.5,6926.88,161.971542964,3
"B",0.5,6799.02,131.385542964,3
"B",0.5,22.3757,7.76654296400005,3
"B",0.5,9218.79,185.164542964,3
"B",0.5,15084.4,141.955542964,3
"B",0.5,13096.2,217.054542964,3
"B",0.5,4551.86,74.795542964,3
"B",0.5,6198.07,135.328542964,3
"B",0.5,3161.37,1770.719542964,3
