"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",50,2279.13,189.887544088,3
"B",50,19.1792,62.187544088,3
"B",50,35.1618,156.065544088,3
"B",50,3062.28,207.903544088,3
"B",50,41.5549,101.520544088,3
"B",50,169.416,78.501544088,3
"B",50,163.023,53.893544088,3
"B",50,1828.42,99.637544088,3
"B",50,207.774,62.720544088,3
"B",50,19.1792,139.353544088,3
"B",50,3.19653,83.520544088,3
"B",50,2496.49,55.234544088,3
"B",50,121.468,68.994544088,3
"B",50,2972.77,225.064544088,3
"B",50,2093.73,185.807544088,3
"B",50,6207.66,109.292544088,3
"B",50,4887.5,211.229544088,3
"B",50,2918.43,276.801544088,3
"B",50,5133.63,88.978544088,3
"B",50,3.19653,70.520544088,3
"B",50,28.7688,6.96454408800003,3
"B",50,44.7514,120.877544088,3
"B",50,856.67,140.069544088,3
"B",50,150.237,100.180544088,3
"B",50,41.5549,51.366544088,3
"B",50,83.1098,95.789544088,3
"B",50,5085.68,208.446544088,3
"B",50,3506.59,34.955544088,3
"B",50,6520.92,87.331544088,3
"B",50,1751.7,145.405544088,3
"B",50,441.121,156.426544088,3
"B",50,706.433,107.384544088,3
"B",50,4270.56,102.257544088,3
"B",50,2410.18,355.913544088,3
"B",50,1627.03,188.424544088,3
"B",50,3624.87,107.371544088,3
"B",50,188.595,71.418544088,3
"B",50,1115.59,62.228544088,3
"B",50,3388.32,86.940544088,3
"B",50,1377.7,80.181544088,3
"B",50,25.5722,314.145544088,3
"B",50,1511.96,336.133544088,3
"B",50,3839.03,142.088544088,3
"B",50,1185.91,230.108544088,3
"B",50,6.39306,19.520544088,3
"B",50,239.74,31.507544088,3
"B",50,2812.95,153.455544088,3
"B",50,22.3757,121.806544088,3
"B",50,3.19653,71.520544088,3
"B",50,6.39306,482.020544088,3
"B",50,1566.3,156.128544088,3
"B",50,25.5722,388.145544088,3
"B",50,6140.54,179.531544088,3
"B",50,1150.75,1259.310544088,3
"B",50,1419.26,56.133544088,3
"B",50,2892.86,144.033544088,3
"B",50,3752.73,145.000544088,3
"B",50,2058.57,119.782544088,3
"B",50,15.9827,69.120544088,3
