"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",5,1687.77,395.664822002,2
"B",5,7649.3,804.600822002,2
"B",5,4999.37,261.308822002,2
"B",5,13978.4,266.633822002,2
"B",5,4379.25,508.343822002,2
"B",5,5833.67,216.006822002,2
"B",5,1224.27,1500.480822002,2
"B",5,4855.53,203.286822002,2
"B",5,2637.14,95.078822002,2
"B",5,12188.4,168.436822002,2
"B",5,5705.81,161.700822002,2
"B",5,1000.51,149.454822002,2
"B",5,7409.56,423.487822002,2
"B",5,4992.98,171.629822002,2
"B",5,9.58959,100.643822002,2
"B",5,3436.27,174.247822002,2
"B",5,8330.16,207.214822002,2
"B",5,361.208,67.558822002,2
"B",5,3337.18,75.777822002,2
"B",5,11523.5,318.283822002,2
"B",5,124.665,35.156822002,2
"B",5,725.612,135.054822002,2
"B",5,47.948,14.577822002,2
"B",5,4532.68,92.736822002,2
"B",5,8093.62,205.548822002,2
"B",5,2649.92,204.655822002,2
"B",5,14777.6,451.417822002,2
"B",5,904.618,170.822822002,2
"B",5,16148.9,141.786822002,2
"B",5,1233.86,911.130822002,2
"B",5,9253.96,300.727822002,2
"B",5,1806.04,66.331822002,2
"B",5,5136.82,107.499822002,2
"B",5,12.7861,446.060822002,2
