"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0.05,5958.33,97.517291711,3
"B",0.05,10382.3,207.783291711,3
"B",0.05,4302.53,127.795291711,3
"B",0.05,4849.14,199.987291711,3
"B",0.05,4721.28,194.502291711,3
"B",0.05,779.953,76.018291711,3
"B",0.05,1393.69,257.673291711,3
"B",0.05,7451.11,388.185291711,3
"B",0.05,2742.62,100.325291711,3
"B",0.05,5018.55,1294.008291711,3
"B",0.05,6421.83,167.967291711,3
"B",0.05,3551.35,826.128291711,3
"B",0.05,26275.5,555.760291711,3
"B",0.05,1249.84,358.034291711,3
"B",0.05,8755.3,308.807291711,3
"B",0.05,14665.7,138.559291711,3
"B",0.05,2528.46,81.709291711,3
"B",0.05,1019.69,113.568291711,3
"B",0.05,3199.73,53.562291711,3
"B",0.05,3586.51,54.143291711,3
"B",0.05,4833.15,435.810291711,3
"B",0.05,14547.4,1395.058291711,3
"B",0.05,1147.55,159.302291711,3
"B",0.05,4941.84,365.453291711,3
"B",0.05,31210.9,418.684291711,3
"B",0.05,5942.35,471.307291711,3
"B",0.05,2720.25,556.422291711,3
"B",0.05,27432.6,741.318291711,3
"B",0.05,1697.36,93.536291711,3
"B",0.05,2135.28,403.941291711,3
"B",0.05,1457.62,299.476291711,3
"B",0.05,21007.6,353.539291711,3
"B",0.05,6511.33,133.842291711,3
