"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",50,11146.3,137.158544088,1
"B",50,703.237,43.470544088,1
"B",50,6.39306,163.520544088,1
"B",50,658.485,169.831544088,1
"B",50,1070.84,217.165544088,1
"B",50,198.185,249.068544088,1
"B",50,335.636,120.520544088,1
"B",50,28.7688,132.631544088,1
"B",50,284.491,238.284544088,1
"B",50,121.468,126.915544088,1
"B",50,60.7341,555.994544088,1
"B",50,12.7861,74.520544088,1
"B",50,415.549,209.628544088,1
"B",50,15.9827,278.520544088,1
"B",50,28.7688,123.742544088,1
"B",50,1681.38,424.647544088,1
"B",50,923.797,163.319544088,1
"B",50,10602.9,203.586544088,1
"B",50,1937.1,114.563544088,1
"B",50,2285.52,132.435544088,1
"B",50,6543.3,171.154544088,1
"B",50,57.5376,101.131544088,1
"B",50,57.5376,46.631544088,1
"B",50,584.965,126.312544088,1
"B",50,3800.67,129.305544088,1
"B",50,9154.86,184.761544088,1
"B",50,2780.98,90.984544088,1
"B",50,1997.83,271.141544088,1
"B",50,664.878,61.631544088,1
"B",50,9.58959,179.853544088,1
"B",50,1473.6,409.950544088,1
"B",50,246.133,136.858544088,1
"B",50,226.954,114.140544088,1
"B",50,6869.34,140.849544088,1
"B",50,1118.79,124.391544088,1
"B",50,1115.59,57.606544088,1
"B",50,44.7514,83.591544088,1
"B",50,31.9653,162.920544088,1
"B",50,12635.9,79.088544088,1
"B",50,31.9653,34.220544088,1
"B",50,1300.99,134.132544088,1
"B",50,4938.64,160.092544088,1
"B",50,83.1098,36.751544088,1
"B",50,732.006,101.044544088,1
"B",50,1505.57,185.083544088,1
"B",50,22.3757,196.234544088,1
"B",50,201.381,99.520544088,1
"B",50,658.485,408.753544088,1
"B",50,7857.07,287.070544088,1
"B",50,6655.18,153.544544088,1
"B",50,7339.23,126.492544088,1
"B",50,41.5549,45.366544088,1
"B",50,5437.3,239.311544088,1
"B",50,51.1445,47.082544088,1
"B",50,47.948,107.120544088,1
"B",50,648.896,47.594544088,1
"B",50,2547.63,126.592544088,1
