"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0.05,3886.98,275.8422917,1
"B",0.05,6626.41,221.6962917,1
"B",0.05,5571.55,364.7972917,1
"B",0.05,108.682,27.91229171,1
"B",0.05,5418.12,70.84029171,1
"B",0.05,6783.04,138.7482917,1
"B",0.05,1994.64,42.98229171,1
"B",0.05,6862.95,869.0882917,1
"B",0.05,4925.85,182.1962917,1
"B",0.05,35152.2,366.0732917,1
"B",0.05,13847.4,148.7062917,1
"B",0.05,6233.23,503.5532917,1
"B",0.05,11127.1,359.1532917,1
"B",0.05,6079.8,207.0262917,1
"B",0.05,1323.36,1001.518292,1
"B",0.05,9899.66,188.3202917,1
"B",0.05,14899,236.1822917,1
"B",0.05,3612.08,125.5902917,1
"B",0.05,5414.92,103.5072917,1
"B",0.05,5948.74,170.5652917,1
"B",0.05,201.381,231.2472917,1
"B",0.05,21004.4,98.01829171,1
"B",0.05,2352.65,93.24229171,1
"B",0.05,1137.96,78.03529171,1
"B",0.05,1227.47,315.6792917,1
"B",0.05,7444.72,321.1852917,1
"B",0.05,12626.3,450.7702917,1
"B",0.05,6747.88,200.9922917,1
