"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0.5,3394.72,99.332542964,2
"B",0.5,2119.3,200.487542964,2
"B",0.5,5558.77,504.868542964,2
"B",0.5,863.063,213.831542964,2
"B",0.5,15714.1,340.848542964,2
"B",0.5,1064.44,119.245542964,2
"B",0.5,4251.39,145.165542964,2
"B",0.5,16420.6,231.106542964,2
"B",0.5,6.39306,219.409542964,2
"B",0.5,11181.5,308.464542964,2
"B",0.5,5341.4,205.115542964,2
"B",0.5,4970.61,98.005542964,2
"B",0.5,2972.77,118.279542964,2
"B",0.5,2582.8,343.481542964,2
"B",0.5,1361.72,225.261542964,2
"B",0.5,121.468,101.225542964,2
"B",0.5,6434.62,103.222542964,2
"B",0.5,6562.48,133.567542964,2
"B",0.5,4871.51,119.026542964,2
"B",0.5,7783.55,203.941542964,2
"B",0.5,10539,256.946542964,2
"B",0.5,38.3584,23.409542964,2
"B",0.5,4350.48,272.752542964,2
"B",0.5,1467.21,134.981542964,2
"B",0.5,7374.4,148.170542964,2
"B",0.5,14828.7,208.390542964,2
"B",0.5,1575.89,54.110542964,2
"B",0.5,2665.91,274.935542964,2
"B",0.5,9883.67,443.209542964,2
"B",0.5,1102.8,62.651542964,2
"B",0.5,4200.24,446.271542964,2
"B",0.5,3775.1,216.774542964,2
"B",0.5,1361.72,440.015542964,2
"B",0.5,12958.7,880.919542964,2
"B",0.5,2912.04,449.709542964,2
"B",0.5,1582.28,96.523542964,2
"B",0.5,6114.96,373.870542964,2
"B",0.5,12.7861,1001.409542964,2
