"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0,2157.66,59.160988924,3
"B",0,8774.48,93.923988924,3
"B",0,2103.32,296.370988924,3
"B",0,5171.99,509.791988924,3
"B",0,2486.9,108.651988924,3
"B",0,8544.33,481.619988924,3
"B",0,36053.7,118.442988924,3
"B",0,2007.42,72.637988924,3
"B",0,14870.3,108.402988924,3
"B",0,8911.93,203.350988924,3
"B",0,405.959,179.920988924,3
"B",0,3615.28,121.711988924,3
"B",0,885.439,68.038988924,3
"B",0,5900.8,128.475988924,3
"B",0,3305.21,103.961988924,3
"B",0,20643.2,305.586988924,3
"B",0,306.867,30.197988924,3
"B",0,3164.57,93.100988924,3
"B",0,12223.5,156.605988924,3
"B",0,1096.41,1024.095988924,3
"B",0,9723.85,133.204988924,3
"B",0,2410.18,210.979988924,3
"B",0,7013.19,231.072988924,3
"B",0,20921.3,138.843988924,3
"B",0,7364.81,330.697988924,3
"B",0,3346.77,736.775988924,3
"B",0,744.792,81.415988924,3
"B",0,3982.88,190.948988924,3
"B",0,16590,154.500988924,3
"B",0,3599.29,96.587988924,3
