"Drug","Concentration_uM","CalceinArea","SpheroidGFPint","Replicate"
"B",0,21205.8,147.237988924,2
"B",0,4539.07,205.221988924,2
"B",0,6191.68,157.941988924,2
"B",0,4743.65,147.919988924,2
"B",0,6866.15,236.281988924,2
"B",0,1774.07,74.868988924,2
"B",0,16989.6,251.667988924,2
"B",0,716.023,129.224988924,2
"B",0,4171.47,642.115988924,2
"B",0,8947.09,141.236988924,2
"B",0,20128.6,274.322988924,2
"B",0,10136.2,116.360988924,2
"B",0,14905.4,342.872988924,2
"B",0,1684.57,90.774988924,2
"B",0,4980.19,124.602988924,2
"B",0,1524.75,77.695988924,2
"B",0,4903.48,99.343988924,2
"B",0,43968.3,196.767988924,2
"B",0,926.994,379.830988924,2
"B",0,29024.5,79.128988924,2
"B",0,808.722,171.500988924,2
"B",0,3995.66,121.413988924,2
"B",0,537.017,1044.205988924,2
"B",0,5306.24,90.749988924,2
"B",0,3206.12,137.435988924,2
"B",0,15595.9,210.465988924,2
"B",0,2144.87,130.223988924,2
"B",0,24469.4,138.052988924,2
"B",0,4081.97,108.156988924,2
"B",0,2480.51,96.402988924,2
